"GroupName
(source)"," ProjectName
(component name)",GitUrl,Tag,language,,,
TestCase from Marketing,Executive Pick/mongodb,https://github.com/mongodb/mongo,,C++,3,,
TestCase from Marketing,Executive Pick/jenkinsci,https://github.com/jenkinsci/jenkins,,Java,4,,"ymshin comment: 
컴포넌트 탐지를 라이브러리와 소스(함수/파일) 기반으로 탐지하는데, 
현재 소스(함수/파일)  기반은 centris 적용 후(7월 내)에 진행 했으면 좋겠어요. 

따라서 라이브러리 기반으로 탐지할 수 있는 랭귀지 3종 (java/python/javascript) 에 대해서만 진행"
TestCase from Marketing,Executive Pick/redis,https://github.com/redis/redis,,C,5,,
TestCase from Marketing,iotcube.net/Pillow,https://github.com/python-pillow/Pillow,,Python,11,,
TestCase from Marketing,git top/bootstrap,https://github.com/twbs/bootstrap,,JavaScript,16,,
TestCase from Marketing,language별 상위(Scala)/spark,https://github.com/apache/spark,,Scala,18,,
TestCase from Marketing,CTO Pick/django,https://github.com/django/django,,Python,22,,
TestCase from Marketing,DB Popular 3rd-party/zlib,https://github.com/madler/zlib,,C,23,,
TestCase from Marketing,DB Popular 3rd-party/protobuf,https://github.com/protocolbuffers/protobuf,,C++,24,,
TestCase from Marketing,DB Popular 3rd-party/openssl,https://github.com/openssl/openssl.git,,C,25,,
TestCase from Marketing,iotcube.net/android,https://github.com/iotcube/API,,,1,임의로 추가,
TestCase from Marketing,iotcube.net/linux,https://github.com/torvalds/linux,,C,2,,
TestCase from Marketing,Executive Pick/mongodb,https://github.com/mongodb/mongo,,C++,3,,
TestCase from Marketing,Executive Pick/jenkinsci,https://github.com/jenkinsci/jenkins,,Java,4,,
TestCase from Marketing,Executive Pick/redis,https://github.com/redis/redis,,C,5,,
TestCase from Marketing,git top/node,https://github.com/nodejs/node,,JavaScript,6,,
TestCase from Marketing,git top/electron,https://github.com/electron/electron,,C++,7,,
TestCase from Marketing,git top/firefox-ios,https://github.com/mozilla-mobile/firefox-ios,,Swift,8,,
TestCase from Marketing,iotcube.net/wireshark,https://github.com/wireshark/wireshark,,C,9,,
TestCase from Marketing,iotcube.net/keystone,https://github.com/keystonejs/keystone-classic,,JavaScript,10,,
TestCase from Marketing,iotcube.net/Pillow,https://github.com/python-pillow/Pillow,,Python,11,,
TestCase from Marketing,medical enterprise/openmrs-core,https://github.com/openmrs/openmrs-core,,Java,12,,
TestCase from Marketing,manufacture enterprice/arduino,https://github.com/arduino/Arduino,,Java,13,,
TestCase from Marketing,language별 상위(Ruby)/rails,https://github.com/rails/rails,,Ruby,14,,
TestCase from Marketing,language별 상위(PHP)/laravel,https://github.com/laravel/laravel,,PHP,15,,
TestCase from Marketing,git top/bootstrap,https://github.com/twbs/bootstrap,,JavaScript,16,,
TestCase from Marketing,language별 상위(Go)/go,https://github.com/golang/go,,Go,17,,
TestCase from Marketing,language별 상위(Scala)/spark,https://github.com/apache/spark,,Scala,18,,
TestCase from Marketing,git top/flutter,https://github.com/flutter/flutter,,Dart,19,,
TestCase from Marketing,git top/tensorflow,https://github.com/tensorflow/tensorflow,,C++,20,,
TestCase from Marketing,automobile enterprise/apollo,https://github.com/ApolloAuto/apollo,,C++,21,,
TestCase from Marketing,CTO Pick/django,https://github.com/django/django,,Python,22,,
TestCase from Marketing,DB Popular 3rd-party/zlib,https://github.com/madler/zlib,,C,23,,
TestCase from Marketing,DB Popular 3rd-party/protobuf,https://github.com/protocolbuffers/protobuf,,C++,24,,
TestCase from Marketing,DB Popular 3rd-party/openssl,https://github.com/openssl/openssl.git,,C,25,,
TestCase from Marketing,etc/riot,https://github.com/riot/riot,,JavaScript,,,
TestCase from Marketing,iotcube.net/android,https://github.com/iotcube/API,,,1,임의로 추가,
TestCase from Marketing,iotcube.net/linux,https://github.com/torvalds/linux,,C,2,,
TestCase from Marketing,etc/mongodb,https://github.com/mongodb/mongo,,C++,3,,
TestCase from Marketing,etc/jenkins,https://github.com/jenkinsci/jenkins,,Java,4,,
TestCase from Marketing,etc/redis,https://github.com/redis/redis,,C,5,,
TestCase from Marketing,git top/node,https://github.com/nodejs/node,,JavaScript,6,,
TestCase from Marketing,git top/electron,https://github.com/electron/electron,,C++,7,,
TestCase from Marketing,git top/firefox-ios,https://github.com/mozilla-mobile/firefox-ios,,Swift,8,,
TestCase from Marketing,iotcube.net/wireshark,https://github.com/wireshark/wireshark,,C,9,,
TestCase from Marketing,iotcube.net/keystone,https://github.com/keystonejs/keystone-classic,,JavaScript,10,,
TestCase from Marketing,iotcube.net/Pillow,https://github.com/python-pillow/Pillow,,Python,11,,
TestCase from Marketing,medical enterprise/openmers-core,https://github.com/openmrs/openmrs-core,,Java,12,,
TestCase from Marketing,manufacture enterprise/arduino,https://github.com/arduino/Arduino,,Java,13,,
TestCase from Marketing,language별 상위(Ruby)/rails,https://github.com/rails/rails,,Ruby,14,,
TestCase from Marketing,language별 상위(JS)/laravel,https://github.com/laravel/laravel,,PHP,15,,
TestCase from Marketing,git top/bootstrap,https://github.com/twbs/bootstrap,,JavaScript,16,,
TestCase from Marketing,language별 상위(Go)/go,https://github.com/golang/go,,Go,17,,
TestCase from Marketing,language별 상위(Scala)/spark,https://github.com/apache/spark,,Scala,18,,
TestCase from Marketing,git top/flutter,https://github.com/flutter/flutter,,Dart,19,,
TestCase from Marketing,git top/tensorflow,https://github.com/tensorflow/tensorflow,,C++,20,,
TestCase from Marketing,automobile enterprise/apollo,https://github.com/ApolloAuto/apollo,,C++,21,,
TestCase from Marketing,etc/django,https://github.com/django/django,,Python,22,,
TestCase from Marketing,etc/zlib,https://github.com/madler/zlib,,C,23,,
