GroupName,ProjectName,GitUrl,Tag,연번,SW 제목,OSS(Open Source Code 기반Software) 목록
융합보안분야 OSS,스마트팩토리/awesome industry 4.0,https://github.com/MfgOpen/awesome-industry4.0,,1,"awesome industry 4.0(Curated list of Industry 4.0 research, popular events, open-source software projects and learning resources that are worth looking into)","(스마트팩토리, 융합보안, 블록체인, 클라우드, 사물인터넷 및 AI 분야)"
융합보안분야 OSS,스마트팩토리/5G TANGO Smart Manufactuirng Pilot,https://github.com/sonata-nfv/tng-industrial-pilot,,2,5G TANGO Smart Manufacturing Pilot,
융합보안분야 OSS,스마트팩토리/Open Source Manufacturing Execution System,https://github.com/jukbot/smart-industry,,3,Open Source Manufacturing Execution System for JobShop type manufacturer,
융합보안분야 OSS,스마트팩토리/데이터 수집용 임베디드 기술,https://github.com/dataignitelab/WhaleShark_IIoT,,4,금속제조 공정에서 발생되는 데이터 수집용 임베디드 기술개발,
융합보안분야 OSS,스마트팩토리/물류적재로봇 제어 SW,https://github.com/oclis/ROS-EYE.git,,5,ROS기반 영상인식기술을 이용한 물류적재로봇 제어 SW,
융합보안분야 OSS,스마트팩토리웹 기반 3D 블록 가시화 시스템,https://github.com/Gaia3D/nipa2019,,6,조선 공정 모니터링을 위한 웹 기반 3D 블록 가시화 시스템 개발,
융합보안분야 OSS,스마트팩토리/용접품질 검사시스템,https://github.com/Info-Share/info-welding-quality-inspection,,7,레이저 비전 카메라를 이용한 영상분석 기반의 용접품질 검사시스템,
융합보안분야 OSS,스마트팩토리/수질계측 통합모니터링 시스템,https://github.com/Info-Share/infowater,,8,공개 S/W 기반 제조산업 수처리 공정 관련 수질계측 통합모니터링 시스템 개발,
융합보안분야 OSS,스마트팩토리/축산물 육가공처리 솔루션,https://github.com/nds1993/OpenMPS,,9,축산물 육가공처리 솔루션 개발,
융합보안분야 OSS,융합보안/커널형 문서 보안 기술,https://github.com/markany-linux/openCode,,10,개방형 OS를 위한 커널형 문서 보안 기술,
융합보안분야 OSS,융합보안/망간자료전송 Client,https://github.com/HuneOpenUp/ossFileTransferClient,,11,개방형OS 기반의 망간자료전송 Client 개발,
융합보안분야 OSS,융합보안/망연계 응용 S/W,https://github.com/hanssak/OpenNetLink,,12,개방형OS 기반 망연계 응용(보안)S/W 개발,
융합보안분야 OSS,융합보안/PC 취약점 점검 관리 시스템,https://github.com/zeinsoft/openos,,13,개방형OS 기반 PC 취약점 점검 관리 시스템 개발,
융합보안분야 OSS,융합보안/동영상 플레이어,https://github.com/yoondisk/MediaSAFE_HD_Basic,,14,개방형 OS 설치형 디지털 저작권 관리 및 지원하는 동영상 플레이어 개발,
융합보안분야 OSS,융합보안/엔드포인트 정보유출방지 보안 소프트웨어,https://github.com/SomansaOpenSource/endpointdlp,,15,개방형OS에서의 엔드포인트 정보유출방지(Endpoint Data Loss Prevention) 보안 소프트웨어 개발,
융합보안분야 OSS,융합보안/0Auth,https://github.com/0-Auth/0Auth,,,0Auth,
융합보안분야 OSS,융합보안/0Auth Extension,https://github.com/0-Auth/0Auth-extension,,,0Auth,
융합보안분야 OSS,융합보안/글로벌 전문개발자 파트,https://github.com/future-architect/vuls,,17,글로벌 전문개발자 파트(Vuls – 보안취약점 점검도구),
융합보안분야 OSS,블록체인/멀티체인 블로체인 기술,https://github.com/ainblockchain/ain-blockchain,,18,실시간 채널 간 통신 프로토콜을 지원하는 이벤트 기반 멀티체인 블록체인 기술 개발,
융합보안분야 OSS,블록체인/API 게이트웨이 시스템,https://github.com/lecle/aloxide,,19,이종의 블록체인과 중앙화 서버를 통합하는 API 게이트웨이 시스템,
융합보안분야 OSS,클라우드/python 라이브러리,https://github.com/ethereum/web3.py,,20,Ethereum node와 통신을 도와주는 python 라이브러리,
융합보안분야 OSS,"클라우드/쿠버네티스/이스티오 배포,운영 도구",https://github.com/uengine-oss/kuber-ez,,21,"디플로이 다이어그래밍을 통한 쿠버네티스/이스티오 배포, 운영 도구의 개발",
융합보안분야 OSS,클라우드/오픈소스 DBMS 오케스트레이션 기술,https://github.com/experdb/eXperDB-Management,,22,하이브리드 클라우드 환경에서 오픈소스 DBMS 오케스트레이션 기술 개발 및 통합 운영관리 플랫폼 고도화,
융합보안분야 OSS,"클라우드/쿠버네티스/이스티오 배포,운영 도구",https://github.com/uengine-oss/kuber-ez,,23,"디플로이 다이어그래밍을 통한 쿠버네티스/이스티오 배포, 운영 도구의 개발",
융합보안분야 OSS,클라우드/협업 개발,https://github.com/yona-projects/yona,,24,협업 개발을 위한 프로젝트 호스팅 SW 개발자/비 개발자가 함께 일을 처리해 나가는 공간,
융합보안분야 OSS,클라우드/분산 추적 도구,https://github.com/jaegertracing,,25,마이크로 서비스 기반 분산 시스템에서 모니터링과 이슈 분석을 위한 분산 추적 도구,
융합보안분야 OSS,클라우드/실시간 클라우드 어플리케이션 성능 모니터링,https://github.com/scouter-project/scouter,,26,실시간 클라우드 어플리케이션 성능 모니터링,
